BTTR,MULN,VIVK,LINK,ABVC,CODA,NCPL,TGTX,COSM,OPXS,SPCB,BLFS,RCAT,TOMZ,MARA,BBY,BVFL,NVO,RSG
0,0.388888889,0,0,0.124999965,0.199999983,0,0,0,-0.105263082,0,0,0,0,0,-0.008478038,0,0.003958418,0.000327541
0,0,0,0,0,-0.083333327,1.333333333,0,0,-0.117647088,0,0,0,0,0,0.001221489,0,0.004294832,0.004580964
0,0,0,0.104918902,0,-0.090909084,0,-0.230769231,0,0,0,0,0,0,0,-0.027246648,0,-0.012268557,-0.002279998
0,0,0,0.001483306,0,0.600000034,0,0,0.274999976,-0.199999916,0,0,0,0,0,0.053511621,0.199999909,0.004755528,-0.002938181
0,0,0,0.037036672,0,-0.124999987,0,0,-0.019607825,0.083333172,0,0.111111101,0,0,0,0.012698216,0.097484374,0.00515695,-0.001309954
0,0,0,0,0,-0.285714312,0,0,0,0.153846204,0,0.099999991,0,0,0,0.0235112,0.404011404,0.01089322,0.002950705
0,0,0,0.007143236,0,-0.149999945,0,0,-0.1,-0.066666615,0,-0.181818168,0,0,0,0.006508471,0,0.000347449,-0.008172482
0,0,0,0,0,0.176470512,0,0,-0.111111111,-0.071428663,0,0.111111101,0,0,0,0.032331731,-0.336734683,0.005698934,-0.001318189
0,0,0,0,0,0,-0.142857143,0,0,0,0,0,0,0,0,-0.006632508,0.076923123,0.184211004,0.001979772
0,-0.28,0,0,0,0.099999991,0,0.1,0,0,0,0,0,0,0,0.020400632,0,-0.012848648,-0.003952523
0,0.388888889,0,0,0,-0.272727252,0,0,0,0,0,0,0,0,0,-0.005088835,0.399999917,0.018450931,0.009259446
0,0,0,0,0,1.499999947,0.166666667,0.181818182,0,0,0,0,-0.2,0,0,-0.016076339,0,-0.015799336,0.002948851
0,0,0,0,0,-0.099999991,0,0,0,0,0,0,0,0,0,-0.011511147,0,0.009203895,-0.003920479
0,0,0,0,0,0.111111101,0,0,0,0,0,0,0,0,0,-0.069496675,0,-0.012371955,0.00066108
0,0,0,0.06382979,0,-0.159999986,0,-0.076923077,0,0,0,0,0,0,0,-0.04400493,-0.265306147,-0.007086592,0.008913934
