BTTR,MULN,VIVK,ABVC,CODA,SPCB,LINK,QUBT,BLFS,HROW,BTCS,AYTU,MIGI,OGEN,IOVA,NTRP,TILE,CDE,ESSA,PETS
1,0,0.014545429,0,0,0,-0.089552318,0.181818113,0,0,-0.299999979,0,0,0,-0.086956522,-0.083333333,-0.018775302,0.009845245,-0.009355646,-0.015599587
0,0,0,0,5.800000128,0,0.03606642,0,0,0,0.857142771,0,0,-0.114832536,0.114285714,0.090909091,-0.012479335,-0.04004177,-0.00629581,-0.027523011
0,0,-0.014336893,0,-0.411764717,0,0,-0.384615353,0.124999987,0,-0.153846173,0,0,-0.027027027,-0.102564103,-0.150000016,0.010109612,-0.026115318,0,0.010291886
0,0,0,0,0,0,0,0,-0.333333349,0,0,0,0,0,0,0,-0.041701603,-0.037243947,-0.002111963,-0.015280266
0,0,0,0,0.249999973,0,0,0.874999972,0,0,0,-0.740259727,0,-0.222222222,0.095238095,0.039215743,0.011334049,-0.00967118,0.010582102,0.011206709
0,0,0,0,0.76000002,-0.466666667,0,0,0.333333381,0,0,0,0.046875,0,0,0.075471623,0.02155181,0.020703077,-0.004188606,0.005115115
0,-0.28,0,0,1.272727246,1,-0.034810915,-0.033333302,0.124999987,0,0,0,-0.002985111,0,0,-0.017543844,0.048101137,0.007654067,0.003154874,0.013571127
0,0.388888889,0,0.124999965,0.199999983,0,0,0,0,0,0,0,0,0,0,0.499999957,-0.046698921,-0.031902778,-0.003144952,-0.032636076
0,0,0,0,-0.083333327,0,0,0,0,0,0,0,-0.251496979,0,-0.113043478,-0.059523755,0.035473085,0.032169467,0.011566878,0.034602118
0,0,0,0,-0.090909084,0,0.104918902,0,0,0,0,0,0,0.214285714,0.078431373,-0.164556984,-0.022838741,-0.056632452,-0.005224826,-0.015050121
0,0,0,0,0.600000034,0,0.001483306,0,0,0,0,0,0,-0.264705882,0.072727273,0.121212152,0.064274133,-0.019339224,-0.002100743,0.014431247
0,0,0,0,-0.124999987,0,0.037036672,0,0.111111101,1.589285758,0,0,0.335999952,0,-0.118644068,-0.108108132,-0.003137571,-0.004930191,0.002105166,-0.019246951
0,0,0,0,-0.285714312,0,0,0,0.099999991,-0.896551724,0,0,0,0,0.009615385,0.196969729,0.017309381,0.005367509,0.01155475,0.011091845
