SPCB,COSM,OPXS,PED,GMGI,ABVC,OGEN,CPSS,IESC,BVFL,TOMZ,POAI,BYRN,WKHS,ARMP,VIVK,BTCS,MIGI,COCP,BKYI,BTTR,QUBT,TGTX,AYTU,HROW,LINK,FPAY,INTZ,BHRB,WFCF,CODA,TROO,APDN,GTIM,WSBF,MULN,AIRI,QRHC,ACAD,IOR,ASTH,RCAT,SNFCA,CDMO,RIME,MLSS,MCVT,AXDX,SLS,HOV,NCPL,PHIO,RCON,SLNH,NTRP,BLFS,VUZI,PHM,IBCP,NEPH
0,3,-0.062500016,0.285714251,0.166666751,-0.038461538,-0.111111111,-0.019999981,-0.063670439,0,0,-0.184100418,0.085714272,0.212121212,-0.076923077,0,0.090909152,0,0,0.285714331,2.5,-0.599999984,0,0,0,0,0,0,-0.010323013,0,0,0.119999965,0,0,0.076087109,-0.2,0,0,-0.033783832,-0.039682502,0,0,-0.014185318,0.118279617,-0.066666709,0,0,0.032520294,0,-0.024793388,0,0,0.023809501,0,0,-0.55555555,0,-0.043814418,0.032258134,-0.010309187
0,0,-0.133333371,-0.444444465,0.142857096,0,0,-0.040816348,0.052000046,-0.0719697,0,0,0.026315827,-0.125,0,0,0,0,0,0,-0.571428571,1.499999901,0,0,-0.142857094,0.099998963,-0.5625,0,0,0,0,-0.059523755,-0.142857143,-0.07407409,-0.030303221,-0.15,0,0,0.006993084,0.239669382,0,0,-0.007194153,-0.019230808,0,0,0,-0.023622063,-0.014492754,0.008474576,1,0,0,0.020408163,-0.300000032,0.499999947,-0.142857143,0.045822086,0.031250248,-0.010416684
0.133333333,0,-0.07692294,0.400000091,0.06250003,-0.04,0,0.06382979,-0.034220589,0,0,0,0,0,0.166666667,0,0,0,0,0,0,-0.133333365,0,0,0,0,-0.571428571,-0.015384601,0,0,0,0,0.166666667,0,0.026041173,0.176470588,0,0,0.083333251,-0.153333346,0,1,-0.014492567,0,-0.142857127,0,0,-0.016129017,-0.029411765,0.109243697,0,0,0.023255854,0,0.190476245,0,0,0.029639273,0.012121129,-0.073684222
0,0,-0.249999956,-0.142857166,-0.088235333,0,0,0,-0.015748017,0,0,0,0,0,0,0,0,0,0,-0.222222249,0,0.538461595,0,0,-0.1666667,0,0.333333333,0,0,0,-0.400000011,-0.050632937,0,0,0.035533227,-0.2,0,0,-0.019230752,0,0,-0.125,0.007352845,-0.019607883,0,0,0,0.032786933,-0.03030303,0.011363636,0,0,-0.068181813,0.1,-0.180000019,0.166666726,-0.166666667,-0.02377957,-0.023952195,0
0,0,0.333333255,0.5,0.096774241,0,0,0,0,0,0,0.692307692,0,0.114285714,0,0,0,0,0,0,0,0,0,0,0.600000024,0,-0.050000012,0.015624985,0,0,0,0.013333321,0,0,0.058823197,0,0,0,0.045751669,0.015748017,0,-0.142857143,0,0.010000021,0,0,0,0.063492001,0.015625,0,0,0,0.02439022,0,0.097561001,0,0,-0.001282304,0.024539981,-0.011363656
-0.117647059,0,0.083333172,-0.111111132,-0.147058889,0.083333333,0,0,-0.003999996,0,0,-0.484848485,0,0,0,0,0,0,0,0.142857197,0,-0.399999976,0,0,0.124999953,0,-0.210526306,0,0,-0.024390274,0,0.197368471,0,-0.031999969,0.018518937,0,0,0.2,-0.043750032,-0.062015447,0,-0.166666667,0,-0.019802021,0.083333389,-0.019607825,0,-0.007462644,0,-0.063670412,0,0,0.07142863,0.036363636,0.17777782,0,0.4,-0.020538995,0,0.011494272
0,0,0.076923183,0,0.172413883,0,0,0,-0.024096362,0,0,-0.029411765,0,-0.102564103,0,0,0,0,0,0,0,1.083333251,0,0,0,0,0.933333397,0,0,-0.125000009,1.333333304,-0.065934067,0,0.033057819,0.068181807,0,0,0,-0.013071883,0.0909091,0,0,0.16058402,-0.01010094,0,-0.180000007,0,-0.037593984,-0.030769231,-0.032,0,0,0,0.035087719,-0.188679238,0,0.142857143,-0.0235913,0.017963949,0
0,0,-0.071428663,-0.375000009,0,-0.076923077,0,-0.040000021,-0.065843655,0.073469563,0,0.515151515,0,0.014285714,-0.142857143,0,0.166666681,0,0,-0.125000041,-0.333333333,0,-0.25,0,0,0.090909616,0.793103324,-0.21538463,0,0,0.28571434,0.105882319,0,0,0.046808598,0,0,0,0.059602671,0.02272725,0,0,0.006289226,0,0.153846126,0.12195125,0,-0.00781253,0.015873016,0.041322314,0,0,0.0444444,-0.288135593,0.046511581,0,0,0.051006531,-0.08823539,-0.034090906
0,0,0.076923183,0,-0.205882356,0,0,0.020833376,-0.013215847,0,0,0,-0.102564125,-0.014084507,0,0,0,0,0,0.142857197,0,-0.280000019,0,0,0,0,0,0,0,0,-0.333333353,-0.085106365,-0.142857143,0,-0.036585418,1.125,0,0,0.08749999,0.022222201,0,0,0,0.020408112,-0.133333312,0.478260858,0,-0.015748017,0.234375,0.011904762,0,0,-0.127659565,0.380952381,0,0.142857125,0,-0.010216797,-0.032257852,0.035294115
0,0,0,0,0.185185156,0.083333333,-0.108333333,0.020408143,0.044642814,0,0,0,0,-0.057142857,0.166666667,0.1,0,0,0,-0.125000041,0,0.111111141,0,0,0,0,0,0.274509828,0,0,-0.166666652,0.046511583,0.166666667,0,-0.046413116,-0.529411765,2.160655655,0,0.017241363,0,0,0.4,-0.062500116,0.010000021,-0.076923124,0,0,0.071999969,0.316455696,0.105882353,0,0,-0.024390285,-0.224137931,-0.111111111,-0.250000027,0,0.070967795,0.106666621,-0.011363656
0,0,0.071428512,0,0.06250003,0,0,0.070000052,0.0042735,0,0,-0.268,0,0,0.071428571,0,0,0,0,0,0,0,5.666666667,0,0,0,-0.711538451,0,0.002267443,0,0,0,0,-0.056000042,-0.066371971,1.1875,0,0,0.03389834,0.043478306,0,0,-0.066666798,0,0.083333389,-0.26470589,0,0.097014942,0.211538462,-0.003546099,0,0,0.074999997,0.022222222,0.125,0,0,-0.004819321,-0.030120893,0.011494272
0,0,-0.066666615,0,-0.211764711,0,0,0.05607471,-0.004255315,-0.011406915,0,0,0,0.060606061,0,0,0.357142846,0,0,0,0,0,0.083333333,0,-0.222222215,0,0,0,0,0,0,0,0,-0.025423706,0.052132528,-0.428571429,0,-0.033333302,-0.027322443,0.041666625,0.266666651,0.142857143,-0.028571066,0.089108915,0,0,0,-0.020408177,-0.198412698,0.024911032,-0.5,0,0.627907074,0,-0.111111111,0,-0.125,0.013317019,0.018633785,0.022727311
0,0,0,0,0.268656725,0,0.074766355,0,0.025641104,0,0,-0.016393443,0,0,-0.133333333,0,0,0,0,0.142857197,0,-0.199999988,0,1.199999951,0,0,0.133333365,0,0.008144778,0.142857155,-0.579999997,0,0,0.008695644,-0.018017831,0,0,0,-0.005617972,0.019999981,0,0,0,-0.045454557,0,0,0,-0.013888876,0.02970297,0.090277778,2,0,0.214285693,-0.347826087,0,0,0.142857143,0.033452409,-0.024390172,-0.011111129
0,0,0,0,-0.276470622,0,0,0.017699098,-0.025000075,0,0,0.027777778,-0.142857143,-0.085714286,0.153846154,0,0,0,0,0,0,0.249999981,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0.036697544,-0.2,0,0,0.022598849,0,0,0,0.066176763,-0.009523743,0.153846126,0,1,-0.042253481,0.057692308,0.031847134,0,0,0.058823566,0,0,0,0.125,0.048555442,0.050000214,-0.011235974
0,0,0,-0.299999955,0.056910597,0,0.043478261,-0.034782576,-0.059829005,0,0,0,0,0,-0.066666667,0,0,0,0,0,0,0,0.142857143,0,0.142857179,0,0,0,-0.001346326,0,0,0,0,-0.025862045,-0.026549085,0.25,0,0.034482725,-0.005524857,0,0,0,0,-0.028846211,-0.066666709,0,0,0.007352899,-0.009090909,-0.083333333,0,0,-0.088888918,0.5,0,0,0,-0.030871166,-0.065476262,-0.011363656
0,0,0,0.428571336,-0.230769222,0,0,0.027027001,0.086363661,0,0,0,0,0,0,0,0,0,0,-0.125000041,0,0,-0.2,0,0.124999953,0,0,-0.230769231,0.440453255,0,0,-0.066666671,0,0.079646048,0.018181798,0.25,0,0,0.038888919,0,-0.36842102,0,0.062069159,0,0,0,0,-0.051094877,-0.036697248,0.023569024,0,0,-0.146341451,-0.333333333,0,0,0,0.034130071,-0.006369198,-0.022988484
0,0,0,0,0,-0.446153857,0.25,-0.026315765,-0.020920581,0.057692301,0,0,0,0,0,0,-0.210526333,0,0,0.142857197,0,0,0.84375,0,0,0,0,0,-0.004718203,0.250000019,0.428571392,0,0,0.040983567,0.004464135,0,0,-0.033333302,-0.010695177,-0.071895436,0.083333251,0,-0.103896682,-0.059405884,0,-0.160000026,0.79999995,-0.061538476,-0.00952381,-0.013157895,0,0,-0.028571476,0.666666667,0,0,0,-0.001100445,0.019230915,0.058823566
0,0,0.071428512,0,0,0,0.2,0.018018001,-0.021367502,0,0,0,0,0.1875,0.142857143,0,0,0,0,-0.125000041,0,-0.199999988,-0.406779661,0,0,0,0,0,0,-0.019999965,-0.333333304,0.023809573,-0.142857143,0.102362203,-0.040000232,0,0,0,0,0.014084578,0.153846196,-0.25,-0.007246284,-0.03157901,-0.071428507,0,0,-0.008196675,-0.105769231,0.006666667,0,0,-0.044117645,0,0.100000024,0.66666669,-0.111111111,-0.005506274,0.025156777,-0.077777847
0,0,0,0,-0.100000046,0,0.25,-0.061946949,0.052401802,0,0,0,-0.266666651,-0.026315789,0.0625,0,-0.333333333,0,0,0.142857197,0,0.249999981,-0.142857143,0,0,0,0,0,-0.000902961,-0.224489826,0,0,0,-0.042857103,-0.004629562,0,0,0,-0.0108108,0,0,0,-0.014598351,0.043478252,0.076923002,-0.047619004,0,0.090909041,0.010752688,-0.01986755,0,0,0.138461531,-0.1,0,0,0.125,-0.017719052,0.042944766,0
0,0,0.266666601,0,0,0,0,0.084905696,0,0,0,0,0.090909111,0,0.176470588,0,0,0,0,0.124999986,0,0,0.433333333,0,0,0,0,-0.039999962,0,0,0,0,0,-0.097014919,0.018605156,0,0,0.137930981,-0.021857967,0.02777775,0,0.333333333,0.00740731,-0.010416594,0,0.500000037,0,-0.007575714,0.095744681,0.023648649,0,0,0,-0.333333333,0,0.099999991,-0.111111111,0.004509625,-0.02352934,0.084337431
