BTTR,MULN,VIVK,ABVC,CODA,LINK,QUBT,BLFS,HROW,FPAY,SPCB,AYTU,PED,AIRI,INTZ,ESSA,BTCS,MIGI,OGEN,QRHC,ACAD
0,0,0,0,0.249999973,0,0.874999972,0,0,0,0,-0.740259727,-0.285714332,0,-0.071428571,0.010582102,0,0,-0.222222222,0.033333302,0.060810833
0,0,0,0,0.76000002,0,0,0.333333381,0,0,-0.466666667,0,0.500000114,0,-0.076923077,-0.004188606,0,0.046875,0,-0.419354836,0.019108261
0,-0.28,0,0,1.272727246,-0.034810915,-0.033333302,0.124999987,0,0,1,0,-0.133333354,0,0.083333333,0.003154874,0,-0.002985111,0,0.722222215,0
0,0.388888889,0,0.124999965,0.199999983,0,0,0,0,0,0,0,-0.230769271,0,0,-0.003144952,0,0,0,0,0.068750008
0,0,0,0,-0.083333327,0,0,0,0,0,0,0,0.300000068,0,0,0.011566878,0,-0.251496979,0,0,0.192982407
0,0,0,0,-0.090909084,0.104918902,0,0,0,0,0,0,0,0,0,-0.005224826,0,0,0.214285714,0.193548439,-0.024509781
0,0,0,0,0.600000034,0.001483306,0,0,0,0,0,0,0,0,0,-0.002100743,0,0,-0.264705882,0,-0.035175906
0,0,0,0,-0.124999987,0.037036672,0,0.111111101,1.589285758,0,0,0,0,0.022580643,0,0.002105166,0,0.335999952,0,0,-0.026041642
0,0,0,0,-0.285714312,0,0,0.099999991,-0.896551724,0,0,0,0,0,0,0.01155475,0,0,0,0,0
0,0,0,0,-0.149999945,0.007143236,-0.448275872,-0.181818168,0.333333333,0,0,0,-0.230769271,0,0,-0.005191774,-0.36363632,-0.008981964,0,0.027027001,0.106951833
0,0,0,0,0.176470512,0,0,0.111111101,0,0,0,0,0,0,0,-0.007307395,0,0,0,0.026315827,0.086956557
0,0,0,0,0,0,0,0,0.299999952,0,0,0,0,0,0,-0.003154523,0,0,0,0.025641001,0.00888888
0,-0.28,0,0,0.099999991,0,0,0,0.346153896,0,0,0,0,0,0,0.010548986,0,-0.003021184,0,-0.074999988,-0.03964754
0,0.388888889,0,0,-0.272727252,0,0,0,0,0,0,0,-0.399999977,0,0,0.028183434,0,0,0.12,0.5945946,-0.018348606
0,0,0,0,1.499999947,0,0,0,0,0,0,0,0,0,0,-0.002030546,0,-0.242424242,-0.178571429,-0.13559325,0.028037355
0,0,0,0,-0.099999991,0,0,0,0.400000027,0,0,0,0,0,-0.015384601,0.0010174,0,0.315999952,0,0.039215743,-0.0090909
0,0,0,0,0.111111101,0,0,0,0.122448958,0,0,0,-0.166666698,0,0,-0.002032487,0,0,0.086956522,0.245282956,-0.022935757
0,0,0,0,-0.159999986,0.06382979,0.562499977,0,0.636363636,0,0,0,0,0,0.015624985,-0.002036565,0.142857078,0,0,0,0.009389662
0,0,0,0,0.107142897,0,-0.080000019,0,0,0,0,0,0,0,0,0.005101895,0,0,0.2,0.015151501,-0.018604743
0,-0.28,0,0,-0.086021494,0,-0.217391309,-0.099999991,-0.222222222,0,0,0,0,0,0,-0.003045635,0.625000017,0,-0.453333333,-0.074626868,-0.037914658
0,0.166666667,0,0,0.047058816,0.066666961,0,0,0,0,0,0,0,0,0,0.004073314,0,0,0,-0.129032216,-0.068965511
0,0,0,0,0,0,0,0,-0.214285714,0,0,0,0,0.015772904,0,-0.004056789,0,0,0.280487805,-0.07407409,-0.037037002
0,0,0,0,-0.002247277,0,0,-0.222222201,0,-0.705882361,0,0,0,0,0,-0.006110001,-0.230769218,0,0.428571429,-0.1,-0.054945066
0,0,0,0,0.002252338,0.012499761,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-0.08888891,-0.081395339
0,0,0,0,0,0,-0.111111074,0,0.018181801,0.200000048,0,0,0,0,-0.184615355,0.014344273,0,0,-0.282051282,0,0.037974646
0,0,0,0,0.011235906,0,0,0,0.250000021,0,0,0,-0.399999977,0,0.22641505,-0.005050543,0,0,0,0,0
0,-0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004060908,-0.099999958,0,0.271428571,-0.024390221,-0.060975625
0,0,0.018181764,0,-0.166666698,0,0,0,0.014285701,0,0,0,0,0,0,0.011213109,0,0,0.123595506,0.125,0.0064935
0,0,0,0,-0.266666652,0,0,0,-0.014084494,0,0,0,0,0,0,0.00302372,0,0,-0.2,0.133333312,-0.032258035
-0.5,0,0,0,0.636363665,0,0,0,0,0,0,0,0.666666604,0,0,-0.015074834,-0.222222235,0,-0.00625,-0.019607825,0
0,0.15,-0.017857091,0,-0.222222201,0.061728665,0,0.714285627,-0.014285701,0,-0.75,0,-0.199999989,0,-0.430769223,-0.004081749,0,0,0,0,-0.013333321
0,0,0,0,0.071428502,0,0,-0.33333331,0.01449274,0,2.75,0,-0.249999982,0,0.621621601,0.004098478,0,0,0,0.1,0
0,0.043478261,0,0,0.12000005,0,0,0,0.171428544,0,0,0,0,0,0,-0.005102385,0,-0.012158019,0,-0.181818182,-0.0135135
0,0.041666667,0,0,-0.285714307,0,-0.375000009,0.249999973,0.085365832,0,0,2.499999893,0.333333302,0,0,0.010256614,0.428571385,0,0.006289308,0,0
0,0,0,0,0.166666726,0,0,-0.199999983,0.123595554,3.999999801,-0.533333333,0,0,0,0,0.035533205,0,0,0,0.222222222,0.020547925
0,0,0,0,0,0,0,0,0.010000038,-0.566666683,0,0,0.750000089,0,0,-0.019608224,0,0,-0.21875,-0.090909091,-0.026845612
