BTTR,MULN,SPCB,VIVK,LINK,BTCS
1,0.388888889,0,0,0,0
0,33.80000057,-0.058823529,0,0,0
-0.5,-0.024137955,0,-0.642156847,0.052631044,0
0,0.008245003,0,0.64383553,0,0
0,0,0,0,0,0
0,0.038551394,-0.125,0,0,0
0,-0.002249703,0.142857143,0.120000048,0,-0.111111177
0,-0.095828659,-0.875,0,0,0
0,-0.026184495,7,0,0,0.125000083
0,0,0,0,0,0
0,-0.04097311,0,0,0,0
0,0.001335104,0,0.428571462,0,0
0,-0.121333378,0,0,0,0
0,-0.080424835,0,0,0,0
0,0.031353099,-0.125,0,0,-0.111111177
0,-0.015999977,0,0,0,0
0,0.022764251,0,0,0,0
0,0.03338627,0,0,0,0
0,0.001538451,0,0,0,0
4,-0.078340984,0,0,0,0
0.6,-0.041666655,-0.571428571,0.020833313,0,0
0.75,0.003478236,0.833333333,0,0,0
-0.357142857,0.012131728,0,0,0,0
-0.111111111,-0.015410947,0.090909091,-0.084693901,0,0
-0.125,0,0,0,0,0
0.142857143,0,0,-0.420289873,0,0
-0.375,-0.104347874,0,0,0,0.500000066
0,0.034951541,0,0,0.050000232,0.666666637
0.2,-0.013133221,0,0,0,-0.350000011
-0.5,0.043726248,0,0,0,0.230769218
0.666666667,0.001821481,-0.75,0,0,0.187500058
-0.2,-0.009090948,4,0,0,0
0,-0.073394496,0,0.557692408,0,-0.052631555
0,0.005940665,0,0,0,0.333333294
-0.25,0.007873959,0,0,0,0
-0.333333333,-0.003906222,-0.066666667,0,0,-0.333333363
-0.5,-0.019607926,0.071428571,0,-0.047619258,-0.062499975
-0.999,-0.003999972,0,0,0,0.066666638
0,-0.130522078,0,0,-0.09999975,0
0,0.050808348,-0.466666667,0,0,0
999.0000367,-0.015384631,0.875,0.786419737,-0.0333334,0.125000083
0,-0.191964317,0,-0.433310299,0.034482829,-0.166666706
0,-0.033149094,0,0,0,0
-0.35,-0.028571468,-0.066666667,0,0.111110802,0.133333347
0,-0.044117668,0.071428571,0,0,0
0,0.046153869,0,0.829268264,0,0.11764707
0,0.032352962,0,-0.138000011,0,-0.052631555
0,0.014244994,0,-0.195669006,0,0
0,-0.011235955,0,0,-0.09999975,-0.111111177
0,-0.025568162,0,0.230769248,0,0.062500041
0,0.014577238,0,0,0,-0.176470574
0,0.00862071,-0.066666667,0,0,0
0,-0.031339051,0,-0.015624985,0,0.285714307
0,0.026470567,0,0.174603199,0,0.055555529
0,0.0057307,0,0,-0.111110901,0
0,-0.085470124,0,-0.189189221,0,-0.210526333
0,0.059190055,0,0,0,-0.133333347
0,0.002941156,0,0.083333389,0,-0.076923046
0,0.011730206,0,-0.153846187,0,0
0,0.011594203,0,-0.036363602,0.124999735,-0.166666681
